Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (kph),Distance (km),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/km)
2021-07-17 12:03 (-05),On Demand,Mayla Wedekind,30,Cycling,Music,30 min Rock Ride,2021-06-27 23:55 (-05),282,157,47%,79,30.59,15.30,377,,,
2021-07-17 12:34 (-05),On Demand,Mayla Wedekind,5,Cycling,Cool Down,5 min Cool Down Ride,2021-07-08 11:31 (-05),29,95,38%,78,25.14,2.09,38,,,
2021-07-18 07:46 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-07-12 13:02 (CDT),,,,,,,62,,,
2021-07-18 10:24 (CDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 14:03 (CDT),,,,,,,62,,,
2021-07-19 11:21 (-05),On Demand,Leanne Hainsby-Alldis,30,Cycling,Music,30 min 90s Rock Ride,2021-07-07 11:25 (-05),268,149,44%,83,30.19,15.10,359,,,
2021-07-19 11:51 (-05),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Spice Girls Cool Down Ride,2021-07-13 13:05 (-05),20,67,34%,77,21.66,1.79,27,,,
2021-07-19 12:07 (CDT),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-04-06 00:45 (CDT),,,,,,,15,,,
2021-07-21 19:32 (-05),On Demand,Bradley Rose,30,Cycling,Music,30 min 90s Rock Ride,2021-07-21 13:00 (-05),229,127,41%,87,28.44,14.23,306,,,
2021-07-21 20:04 (-05),On Demand,Bradley Rose,5,Cycling,Cool Down,5 min Cool Down Ride,2021-04-06 00:35 (-05),19,65,34%,73,21.53,1.79,26,,,
2021-07-21 20:16 (CDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 03:45 (CDT),,,,,,,15,,,
2021-07-23 06:38 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-07-12 13:02 (CDT),,,,,,,62,,,
2021-07-23 06:55 (CDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-12-21 07:30 (CDT),,,,,,,31,,,
2021-07-25 12:01 (PDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 12:03 (PDT),,,,,,,62,,,
2021-07-25 12:19 (PDT),On Demand,Selena Samuela,10,Strength,Bodyweight,10 min Bodyweight Strength,2020-07-18 07:00 (PDT),,,,,,,62,,,
2021-08-01 09:40 (-05),On Demand,Mayla Wedekind,30,Cycling,Music,30 min Indie Rock Ride,2021-08-01 07:30 (-05),279,155,45%,82,30.66,15.34,374,,,
2021-08-01 10:12 (-05),On Demand,Mayla Wedekind,5,Cycling,Cool Down,5 min Cool Down Ride,2021-07-08 11:31 (-05),29,96,40%,75,25.52,2.12,39,,,
2021-08-01 10:51 (CDT),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-04-06 00:45 (CDT),,,,,,,15,,,
2021-08-02 07:13 (CDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 14:03 (CDT),,,,,,,62,,,
2021-08-03 15:57 (-05),On Demand,Emma Lovewell,30,Cycling,Music,30 min 90s Rock Ride,2021-07-26 06:50 (-05),275,153,46%,79,30.16,15.08,368,,,
2021-08-03 16:28 (-05),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-30 08:00 (-05),31,105,37%,86,26.30,2.19,42,,,
2021-08-03 16:37 (-05),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-04 08:00 (-05),,,,,,,15,,,
2021-08-05 07:02 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-06-17 13:02 (CDT),,,,,,,62,,,
2021-08-05 17:08 (-05),On Demand,Erik Jager,30,Cycling,Music,30 min Metal Ride,2021-06-14 11:06 (-05),269,150,47%,78,30.06,15.03,361,,,
2021-08-05 17:40 (-05),On Demand,Erik Jager,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-07 08:30 (-05),16,54,30%,80,19.86,1.66,22,,,
2021-08-05 17:50 (-05),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-04-06 00:45 (-05),,,,,,,15,,,
2021-08-06 09:50 (CDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 14:03 (CDT),,,,,,,62,,,
2021-08-07 06:44 (CDT),On Demand,Selena Samuela,10,Strength,Bodyweight,10 min Bodyweight Strength,2020-07-18 09:00 (CDT),,,,,,,62,,,
2021-08-07 11:24 (-05),On Demand,Leanne Hainsby-Alldis,30,Cycling,Music,30 min 2000s Rock Ride,2021-08-05 09:30 (-05),278,155,46%,81,30.66,15.34,373,,,
2021-08-07 11:57 (-05),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-21 00:25 (-05),26,85,38%,73,23.50,1.96,34,,,
2021-08-07 12:11 (-05),On Demand,Leanne Hainsby-Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-09-19 09:45 (-05),,,,,,,15,,,
2021-08-09 17:17 (-05),On Demand,Mayla Wedekind,5,Cycling,Warm Up,5 min Warm Up Ride,2021-08-03 10:55 (-05),26,87,33%,89,24.17,2.01,35,,,
2021-08-09 17:23 (-05),On Demand,Mayla Wedekind,20,Cycling,Intervals,20 min Tabata Ride,2021-07-10 08:30 (-05),212,177,53%,72,31.70,10.57,284,,,
2021-08-09 17:44 (-05),On Demand,Mayla Wedekind,5,Cycling,Cool Down,5 min Cool Down Ride,2021-07-08 11:31 (-05),34,115,43%,75,27.58,2.29,46,,,
2021-08-09 17:53 (-05),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-07-12 13:02 (-05),,,,,,,62,,,
2021-08-09 18:06 (-05),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-04-06 00:45 (-05),,,,,,,15,,,
2021-08-10 07:05 (CDT),On Demand,Callie Gullickson,10,Strength,Core,10 min Core Strength,2021-08-02 09:00 (CDT),,,,,,,62,,,
2021-08-12 16:56 (-05),On Demand,Cliff Dwenger,5,Cycling,Warm Up,5 min Warm Up Ride,2021-07-24 06:00 (-05),33,110,36%,92,26.96,2.24,44,,,
2021-08-12 17:02 (-05),On Demand,Cliff Dwenger,20,Cycling,Intervals,20 min HIIT Ride,2021-08-11 12:00 (-05),203,169,51%,76,31.37,10.46,272,,,
2021-08-12 17:22 (-05),On Demand,Cliff Dwenger,5,Cycling,Cool Down,5 min Cool Down Ride,2021-07-01 00:47 (-05),31,104,40%,78,26.18,2.17,42,,,
